All,Toate
None,Niciunul
"Allowed Scopes","Scopuri Permise"
"More permissions are needed to delete the ""%1"" item.","Sunt necesare mai multe permisiuni pentru a șterge elementul ""%1""."
"You need more permissions to apply some of the rule updates.","Aveți nevoie de mai multe permisiuni pentru a aplica unele actualizări ale regulilor."
"More permissions are needed to view this item.","Sunt necesare mai multe permisiuni pentru a vizualiza acest element."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Această entitate trebuie să fie atribuită unei vizualizări din magazin. Verificați atribuirea entității și încercați din nou."
"This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","Acest articol trebuie atribuit unei vizualizări din magazin.
                Vă rugăm să selectaţi un site web pentru acest produs în ""Produs în website-uri""."
"Orders can only be completed in an active store. Verify the store and try again.","Comenzile pot fi finalizate numai într-un magazin activ. Verificați magazinul și încercați din nou."
"This item needs to be assigned to a store view. Assign item and try again.","Acest element trebuie să fie atribuit unei vizualizări din magazin. Atribuiți elementul și încercați din nou."
"More permissions are needed to save this item.","Sunt necesare mai multe permisiuni pentru a salva acest element."
"More permissions are needed to delete this item.","Sunt necesare mai multe permisiuni pentru a șterge acest element."
"At least one website or store group needs to be selected. Select and try again.","Trebuie selectat cel puțin un site web sau un grup de magazine. Selectați și încercați din nou."
"More permissions are needed to set All Scopes to a Role.","Sunt necesare mai multe permisiuni pentru a seta toate codurile la un rol."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","ID-ul site-ului ""%1"" este incorect. Verificaţi ID-ul website-ului şi încercaţi din nou."
"You need more permissions to access website ""%1"".","Aveți nevoie de mai multe permisiuni pentru a accesa site-ul web ""%1""."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","ID-ul magazinului ""%1"" este incorect. Verificați ID-ul magazinului și încercați din nou."
"More permissions are needed to save this setting.","Sunt necesare mai multe permisiuni pentru a salva această setare."
"Role Scopes","Scopuri de rol"
Custom,Personalizat
"Read Details","Citire detalii"
"Mark as Read","Marchează ca Citit"
"Are you sure?","Eşti sigur(ă)?"
Remove,Elimină
"Messages Inbox",Mesaje
"You have %1 new system messages","Aveţi %1 mesaj(e) personal(e) nou(i)"
"You have %1 new system message","Aveţi %1 mesaj personal nou"
"Incoming Message","Mesaj primit"
close,închide
Notifications,Notificări
"The message has been marked as Read.","Mesajul a fost marcat drept citit."
"We couldn't mark the notification as Read because of an error.","Nu am putut marca notificarea ca citită din cauza unei erori."
"Please select messages.","Vă rugăm selectați mesajele."
"A total of %1 record(s) have been marked as Read.","Un total de %1 înregistrări au fost marcate drept citite."
"Total of %1 record(s) have been removed.","Un total de %1 înregistrări au fost șterse."
"We couldn't remove the messages because of an error.","Nu am putut elimina mesajele din cauza unei erori."
"The message has been removed.","Mesajul a fost șters."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Ați vizualizat și rezolvat toate notificările recente de sistem. Vă rugăm să reîncărcați pagina web pentru a șterge alerta de notificare."
"1 Hour","1 oră"
